title,docid,updated,publisheddate,relevancescore,resultnumber,jurisdiction,date,source,author,contenttype,status,contentcomponentid,vendorreportid,length,byline,wordcount,language,actualresultscount
"Delaware : Statutory Authority: 10 Delaware Code, Chapter 27 (10 Del. C. Ch. 27)",urn:contentItem:5HWM-CB81-J9XT-P345-00000-00,2016-01-19,"January 19, 2016 Tuesday",127,9,U.S. Federal; Delaware; Minnesota,2016-01-19,US Official News,,News,Available,400469,USOFFN2016,2868 words,,2868,English,13151
U.S. Patents Awarded to Inventors in Delaware (Jan. 18),urn:contentItem:5HWD-F7H1-DYG2-R4DS-00000-00,2016-01-18,"January 18, 2016 Monday",127,10,U.S. Federal; Delaware; Iowa; Maryland; Michigan; Pennsylvania; Virginia,2016-01-18,Targeted News Service,Targeted News Service Targeted News Service,News,Available,299219,TARGET2016,1154 words,Targeted News Service Targeted News Service,1154,English,13151
Delaware : DE increases student access to language proficiency tests,urn:contentItem:5HXX-CBM1-J9XT-P0JW-00000-00,2016-01-25,"January 25, 2016 Monday",130,1,U.S. Federal; Delaware; International,2016-01-25,US Official News,,News,Available,400469,USOFFN2016,755 words,,755,English,14126
"Regulatory update: Delaware Public Service Commission; Delaware Public Service Commission , has issued ( 16-DE-0039-NDS ) Commission Meeting January 5, 2016 - Director's Comments FERC Docket No. EL05-121 Public Session",urn:contentItem:5HX8-BHH1-DXCW-D3YB-00000-00,2016-01-22,"January 22, 2016 Friday",129,2,U.S. Federal; Delaware,2016-01-22,US Official News,,News,Available,400469,USOFFN2016,202 words,,202,English,14126
"Regulatory update: Delaware Public Service Commission; Delmarva Power , has issued ( 16-DE-0034-NDS ) Docket Filing Application",urn:contentItem:5HX8-BHH1-DXCW-D3Y6-00000-00,2016-01-22,"January 22, 2016 Friday",129,3,U.S. Federal; Delaware,2016-01-22,US Official News,,News,Available,400469,USOFFN2016,215 words,,215,English,14126
"Regulatory update: Delaware Public Service Commission; Delaware Public Service Commission , has issued ( 16-DE-0038-NDS ) Commission Meeting January 5, 2016 - Director's Comments FERC Docket No. EL05-121 Public Session",urn:contentItem:5HX8-BHH1-DXCW-D3Y9-00000-00,2016-01-22,"January 22, 2016 Friday",129,4,U.S. Federal; Delaware,2016-01-22,US Official News,,News,Available,400469,USOFFN2016,202 words,,202,English,14126
"Regulatory update: Delaware Public Service Commission; Delaware Public Service Commission , has issued ( 16-DE-0037-NDS ) Commission Meeting January 5, 2016 - Transcript - Director's Comments - FERC Docket No. El05-121 EXECUTIVE SESSION",urn:contentItem:5HX8-BHH1-DXCW-D3Y8-00000-00,2016-01-22,"January 22, 2016 Friday",129,5,U.S. Federal; Delaware,2016-01-22,US Official News,,News,Available,400469,USOFFN2016,206 words,,206,English,14126
"Regulatory update: Delaware Public Service Commission; Verizon Delaware LLC , has issued ( 16-VE-0048-NDS ) Docket Filing Application",urn:contentItem:5HYJ-BMS1-DXCW-D1CP-00000-00,2016-01-28,"January 28, 2016 Thursday",129,6,U.S. Federal; Delaware,2016-01-28,US Official News,,News,Available,400469,USOFFN2016,241 words,,241,English,14126
"Delaware : U.S. 13 over Williams Pond (BR 3-253 N&S) in Seaford, DE Public & Virtual Workshop",urn:contentItem:5HYJ-BMT1-J9XT-P23M-00000-00,2016-01-28,"January 28, 2016 Thursday",129,7,U.S. Federal; Delaware,2016-01-28,US Official News,,News,Available,400469,USOFFN2016,236 words,,236,English,14126
"Delaware : U.S. 13 over Williams Pond (BR 3-253 N&S) in Seaford, DE Public & Virtual Workshop",urn:contentItem:5HYS-7DY1-DXCW-D2WR-00000-00,2016-01-28,"January 28, 2016 Thursday",129,8,U.S. Federal; Delaware,2016-01-28,US Official News,,News,Available,400469,USOFFN2016,236 words,,236,English,14126
