Date,news_pos_sentiment_count,news_sentiment_daily_avg,twitter_pos_sentiment_count
2022-02-07,1.0,0.0022,11.0
2022-02-08,2.0,-0.0196,9.0
2022-02-09,9.0,0.014,12.0
2022-02-10,3.0,0.0014,6.0
2022-02-11,1.0,-0.0002,14.0
2022-02-14,1.0,-0.0015,6.0
2022-02-15,3.0,-0.0046,5.0
2022-02-16,2.0,0.0002,15.0
2022-02-17,1.0,0.0001,5.0
2022-02-18,0.0,-0.0005,7.0
2022-02-21,0.0,-0.001,5.0
2022-02-22,1.0,0.0007,3.0
2022-02-23,1.0,-0.0269,7.0
2022-02-24,1.0,-0.1725,2.0
2022-02-25,1.0,-0.0917,5.0
2022-02-28,0.0,-0.0012,3.0
2022-03-01,0.0,-0.0437,9.0
2022-03-02,3.0,-0.0206,11.0
2022-03-03,3.0,0.0024,4.0
2022-03-04,0.0,-0.0101,4.0
2022-03-07,0.0,-0.001,6.0
2022-03-08,1.0,-0.004,4.0
2022-03-09,0.0,-0.0162,3.0
2022-03-10,11.0,0.0274,7.0
2022-03-11,0.0,-0.0041,12.0
2022-03-14,4.0,0.0076,4.0
2022-03-15,2.0,-0.033,16.0
2022-03-16,7.0,0.0051,14.0
2022-03-17,5.0,0.0049,10.0
2022-03-18,3.0,0.0011,7.0
2022-03-21,0.0,-0.0024,3.0
2022-03-22,0.0,-0.001,0.0
2022-03-23,3.0,0.0031,13.0
2022-03-24,2.0,-0.0006,1.0
2022-03-25,4.0,0.002,7.0
2022-03-28,0.0,0.0,10.0
2022-03-29,1.0,-0.0271,4.0
2022-03-30,3.0,0.0015,7.0
2022-03-31,0.0,-0.0008,15.0
2022-04-01,1.0,-0.0031,7.0
2022-04-04,2.0,-0.0386,7.0
2022-04-05,3.0,-0.0184,3.0
2022-04-06,0.0,-0.0003,6.0
2022-04-07,1.0,-0.0015,4.0
2022-04-08,6.0,0.0015,4.0
2022-04-11,3.0,0.0027,4.0
2022-04-12,0.0,-0.005,13.0
2022-04-13,18.0,-0.1533,19.0
2022-04-14,12.0,-0.3768,46.0
2022-04-15,2.0,-0.1015,7.0
2022-04-18,3.0,-0.095,2.0
2022-04-19,4.0,-0.0511,4.0
2022-04-20,3.0,-0.0047,11.0
2022-04-21,1.0,-0.0012,13.0
2022-04-22,1.0,-0.0002,2.0
2022-04-25,0.0,-0.0008,1.0
2022-04-26,4.0,-0.0145,0.0
2022-04-27,2.0,-0.0928,4.0
2022-04-28,0.0,-0.0502,5.0
2022-04-29,1.0,-0.011,10.0
2022-05-02,0.0,-0.0005,6.0
2022-05-03,2.0,-0.0019,3.0
2022-05-04,14.0,0.0457,6.0
2022-05-05,2.0,-0.0102,5.0
2022-05-06,0.0,-0.0001,15.0
2022-05-09,0.0,-0.0076,3.0
2022-05-10,1.0,-0.0027,2.0
2022-05-11,0.0,-0.0227,3.0
2022-05-12,1.0,-0.0005,11.0
2022-05-13,0.0,-0.0153,9.0
2022-05-16,0.0,0.0,3.0
2022-05-17,6.0,-0.0058,6.0
2022-05-18,5.0,0.0018,14.0
2022-05-19,0.0,-0.0122,16.0
2022-05-20,0.0,-0.0029,5.0
2022-05-23,10.0,0.0144,19.0
2022-05-24,54.0,0.0808,72.0
2022-05-25,7.0,0.007,11.0
2022-05-26,1.0,-0.001,34.0
2022-05-27,7.0,0.0053,8.0
2022-05-30,0.0,-0.0015,8.0
2022-05-31,0.0,-0.0149,7.0
2022-06-01,1.0,-0.0019,4.0
2022-06-02,9.0,-0.0034,7.0
2022-06-03,2.0,-0.0009,6.0
2022-06-06,0.0,-0.0002,2.0
2022-06-07,1.0,-0.0013,17.0
2022-06-08,2.0,0.0002,3.0
2022-06-09,1.0,-0.0016,11.0
2022-06-10,0.0,-0.0115,4.0
2022-06-13,0.0,-0.0016,1.0
2022-06-14,0.0,-0.004,17.0
2022-06-15,0.0,-0.1679,17.0
2022-06-16,3.0,-0.0045,11.0
2022-06-17,1.0,-0.0009,5.0
2022-06-20,0.0,0.0,2.0
2022-06-21,1.0,-0.0004,7.0
2022-06-22,2.0,0.0008,3.0
2022-06-23,0.0,-0.0048,10.0
2022-06-24,4.0,-0.0126,12.0
2022-06-27,0.0,-0.0008,12.0
2022-06-28,5.0,0.0024,10.0
2022-06-29,2.0,-0.0102,9.0
2022-06-30,0.0,-0.0017,7.0
2022-07-01,1.0,-0.0357,13.0
2022-07-04,0.0,-0.004,1.0
2022-07-05,0.0,-0.0009,6.0
2022-07-06,1.0,-0.1682,3.0
2022-07-07,0.0,-0.0067,6.0
2022-07-08,1.0,-0.0257,2.0
2022-07-11,1.0,-0.0534,2.0
2022-07-12,2.0,-0.0075,2.0
2022-07-13,1.0,-0.0188,6.0
2022-07-14,15.0,-0.2666,18.0
2022-07-15,4.0,-0.7659,18.0
2022-07-18,5.0,-0.2072,6.0
2022-07-19,3.0,-0.0497,5.0
2022-07-20,0.0,-0.0106,2.0
2022-07-21,0.0,-0.0132,0.0
2022-07-22,2.0,-0.003,7.0
2022-07-25,0.0,-0.0222,7.0
2022-07-26,4.0,-0.0117,4.0
2022-07-27,0.0,-0.0133,5.0
2022-07-28,2.0,-0.0382,14.0
2022-07-29,1.0,-0.0163,3.0
2022-08-01,0.0,-0.0009,2.0
2022-08-02,0.0,-0.0038,7.0
2022-08-03,1.0,-0.0036,5.0
2022-08-04,1.0,0.0002,7.0
2022-08-05,1.0,-0.0027,5.0
2022-08-08,1.0,-0.008,3.0
2022-08-09,1.0,-0.006,11.0
2022-08-10,0.0,-0.0004,11.0
2022-08-11,6.0,-0.1863,8.0
2022-08-12,2.0,-0.0327,21.0
2022-08-15,0.0,-0.0327,3.0
2022-08-16,1.0,-0.0007,7.0
2022-08-17,1.0,-0.0003,7.0
2022-08-18,2.0,-0.0135,1.0
2022-08-19,0.0,-0.0137,15.0
2022-08-22,0.0,-0.0748,2.0
2022-08-23,1.0,-0.0323,0.0
2022-08-24,3.0,0.0038,6.0
2022-08-25,2.0,0.002,2.0
2022-08-26,2.0,0.0037,2.0
2022-08-29,2.0,0.0144,0.0
2022-08-30,1.0,-0.0136,0.0
2022-08-31,1.0,-0.0633,2.0
2022-09-01,0.0,-0.0193,5.0
