title,source,author,date,length,wordcount,totalsearchresults,relevancescore,contentcomponentid,vendorreportid,docid
FedEx Co. ( NYSE :FDX) Shares Sold by Regentatlantic Capital LLC,American Banking and Market News,,2021-05-06,934 words,934,36,62,439934,AMBNWS2021,urn:contentItem:62M5-4TH1-JB40-X49X-00000-00
Oliver Luxxe Assets LLC Raises Holdings in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-05-06,936 words,936,36,62,439934,AMBNWS2021,urn:contentItem:62M5-4TH1-JB40-X2H6-00000-00
Connecticut Wealth Management LLC Grows Stock Holdings in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-05-06,943 words,943,36,61,439934,AMBNWS2021,urn:contentItem:62M5-4TB1-JB40-X0XN-00000-00
"FedEx Co. ( NYSE :FDX) CEO Henry J. Maier Sells 19,382 Shares",American Banking and Market News,,2021-05-07,824 words,824,25,65,439934,AMBNWS2021,urn:contentItem:62MC-40K1-DXK2-M39C-00000-00
Handelsbanken Fonder AB Has $17.36 Million Stake in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-05-07,831 words,831,25,65,439934,AMBNWS2021,urn:contentItem:62M7-F8R1-JB40-X4MB-00000-00
"FedEx Co. ( NYSE :FDX) CEO Sells $5,928,759.98 in Stock",Zolmax.com,,2021-05-07,870 words,870,25,63,484302,AMCN-116308,urn:contentItem:62MC-BNK1-JCMN-Y26R-00000-00
Bedell Frazier Investment Counseling LLC Has $9.03 Million Holdings in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-05-07,928 words,928,25,62,439934,AMBNWS2021,urn:contentItem:62MC-3YM1-DXK2-M0TT-00000-00
Compass Capital Management Inc. Grows Stock Position in FedEx Co. ( NYSE : FDX ),American Banking and Market News,,2021-05-07,1034 words,1034,25,60,439934,AMBNWS2021,urn:contentItem:62MC-40K1-DXK2-M2GR-00000-00
FedEx Co. ( NYSE :FDX) Shares Acquired by Compass Capital Management Inc.,American Banking and Market News,,2021-05-07,1001 words,1001,25,60,439934,AMBNWS2021,urn:contentItem:62MC-40K1-DXK2-M4G3-00000-00
Balasa Dinverno & Foltz LLC Purchases 439 Shares of FedEx Co. ( NYSE :FDX),Transcript Daily,,2021-05-07,959 words,959,25,60,484294,AMCN-10009368,urn:contentItem:62MC-BNK1-JCMN-Y0B4-00000-00
Klingenstein Fields & Co. LP Has $3.28 Million Position in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-05-07,987 words,987,25,60,439934,AMBNWS2021,urn:contentItem:62MC-3YM1-DXK2-M1CD-00000-00
"Bedell Frazier Investment Counseling LLC Buys 4,355 Shares of FedEx Co. ( NYSE :FDX)",DailyPolitical,,2021-05-07,1132 words,1132,25,58,484233,AMCN-116307,urn:contentItem:62M8-45S1-JCMN-Y4KK-00000-00
FedEx Co. ( NYSE :FDX) Stock Position Reduced by Financial Counselors Inc.,American Banking and Market News,,2021-05-08,947 words,947,14,65,439934,AMBNWS2021,urn:contentItem:62MF-CJH1-DXK2-M1XH-00000-00
PGGM Investments Increases Stock Holdings in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-05-08,927 words,927,14,64,439934,AMBNWS2021,urn:contentItem:62MK-1R21-DXK2-M0Y3-00000-00
Garner Asset Management Corp Purchases 410 Shares of FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-05-08,910 words,910,14,64,439934,AMBNWS2021,urn:contentItem:62MF-CJH1-DXK2-M3DT-00000-00
Sumitomo Mitsui Trust Holdings Inc. Reduces Stock Holdings in FedEx Co. ( NYSE : FDX ),American Banking and Market News,,2021-05-08,977 words,977,14,64,439934,AMBNWS2021,urn:contentItem:62MK-1R21-DXK2-M0Y2-00000-00
"FedEx Co. ( NYSE :FDX) CEO Henry J. Maier Sells 19,382 Shares",American Banking and Market News,,2021-05-08,906 words,906,14,64,439934,AMBNWS2021,urn:contentItem:62MC-40K1-DXK2-M4P5-00000-00
Value Partners Investments Inc. Raises Stake in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-05-08,897 words,897,14,63,439934,AMBNWS2021,urn:contentItem:62MF-CJH1-DXK2-M3P5-00000-00
TCF National Bank Sells 375 Shares of FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-05-08,839 words,839,14,63,439934,AMBNWS2021,urn:contentItem:62MF-CJH1-DXK2-M2YW-00000-00
"FedEx Co. ( NYSE :FDX) Director Sells $923,826.15 in Stock",Transcript Daily,,2021-05-08,797 words,797,14,62,484294,AMCN-10009368,urn:contentItem:62MD-M101-JCMN-Y547-00000-00
FedEx Co. ( NYSE : FDX ) Stock Position Lifted by Value Partners Investments Inc.,Transcript Daily,,2021-05-08,1111 words,1111,14,61,484294,AMCN-10009368,urn:contentItem:62MG-03V1-JCMN-Y4R5-00000-00
FedEx Co. ( NYSE :FDX) Shares Sold by BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp,American Banking and Market News,,2021-05-09,969 words,969,15,67,439934,AMBNWS2021,urn:contentItem:62MN-BD51-JB40-X17Y-00000-00
Oakworth Capital Inc. Trims Holdings in FedEx Co. ( NYSE :FDX),DailyPolitical,,2021-05-09,900 words,900,15,65,484233,AMCN-116307,urn:contentItem:62MN-XDS1-F03R-N2G4-00000-00
Pinnacle Wealth Planning Services Inc. Buys 420 Shares of FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-05-09,983 words,983,15,64,439934,AMBNWS2021,urn:contentItem:5SVR-4761-DXK2-M2F5-00000-00
FedEx Co. ( NYSE :FDX) Shares Bought by St. Johns Investment Management Company LLC,American Banking and Market News,,2021-05-09,844 words,844,15,63,439934,AMBNWS2021,urn:contentItem:62MT-0XT1-JB40-X4X7-00000-00
"Paragon Capital Management LLC Sells 3,338 Shares of FedEx Co. ( NYSE :FDX)",American Banking and Market News,,2021-05-09,886 words,886,15,63,439934,AMBNWS2021,urn:contentItem:62MN-BD51-JB40-X3JC-00000-00
Wealthstreet Investment Advisors LLC Trims Holdings in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-05-09,868 words,868,15,63,439934,AMBNWS2021,urn:contentItem:62MT-0XV1-JB40-X1RK-00000-00
FedEx Co. ( NYSE :FDX) Shares Sold by Oakworth Capital Inc.,American Banking and Market News,,2021-05-09,890 words,890,15,63,439934,AMBNWS2021,urn:contentItem:5SVR-4761-DXK2-M2XT-00000-00
LSV Asset Management Has $241.06 Million Stock Position in FedEx Co. ( NYSE :FDX),American Banking and Market News,,2021-05-09,962 words,962,15,61,439934,AMBNWS2021,urn:contentItem:62MN-BD51-JB40-X2S6-00000-00
